id,no_plant,ph,fsm,dsm,shoot_moi,frm,drm,root_moi,root:shoot,no_flower,no_fruit,no_insect,len_fruit
1,20,22,0.6743,0.1595,322.7586207,0.0314,0.0065,383.0769231,4.0752,25,93,200,9.72
2,15,20,0.4741,0.1336,254.8652695,0.0029,0.0071,-59.15492958,5.3144,26,101,13,9.84
3,1,24.2,0.3448,0.1184,191.2162162,0.0162,0.0037,337.8378378,3.1250,0,66,0,12.11
4,5,10.8,0.0259,0.0107,142.0560748,0.0027,0.0014,92.85714286,13.0841,0,4,1,6.80
6,50,14.5,0.6236,0.0964,546.8879668,0.0225,0.0065,246.1538462,6.7427,130,28,0,9.34
7,10,17.7,0.5442,0.0827,558.0411125,0.016,0.0046,247.826087,5.5623,66,14,0,13.65
8,10,23.3,0.9851,0.1702,478.7896592,0.0256,0.0042,509.5238095,2.4677,106,70,100,11.41
9,200,16.6,0.3705,0.1097,237.739289,0.0122,0.0056,117.8571429,5.1048,60,103,52,8.32
10,200,26.3,1.1673,0.3559,227.9853892,0.0247,0.0142,73.94366197,3.9899,18,236,3,10.87
11,200,22.2,0.3186,0.1112,186.5107914,0.0177,0.005,254,4.4964,12,63,3,10.36
12,200,14.8,0.1179,0.0396,197.7272727,0.0062,0.0026,138.4615385,6.5657,4,28,0,8.76
13,20,21.8,0.2665,0.0613,334.7471452,0.014,0.0054,159.2592593,8.8091,47,35,0,11.33
14,8,30,3.1322,0.8343,275.4285029,0.0406,0.0231,75.75757576,2.7688,133,393,0,13.76
15,15,33.5,4.7298,0.8481,457.6936682,0.0874,0.0192,355.2083333,2.2639,530,117,3,15.50
16,10,18.5,0.5137,0.1252,310.3035144,0.0298,0.0092,223.9130435,7.3482,48,60,8,12.68
17,2,23.8,0.282,0.0914,208.5339168,0.0187,0.0043,334.8837209,4.7046,0,54,0,11.67
18,5,24.7,0.6135,0.0957,541.0658307,0.0094,0.0041,129.2682927,4.2842,52,43,49,14.88
19,20,24.3,0.2837,0.0709,300.1410437,0.0055,0.0025,120,3.5261,22,40,5,14.65
20,35,12.3,0.1278,0.0314,307.0063694,0.0048,0.0012,300,3.8217,4,36,0,9.38
21,15,15.2,0.1874,0.0398,370.8542714,0.0139,0.0068,104.4117647,17.0854,34,23,0,10.71
22,30,21.9,0.1914,0.0433,342.0323326,0.0235,0.004,487.5,9.2379,22,30,0,15.11
23,25,22.2,0.2745,0.057,381.5789474,0.0035,0.0024,45.83333333,4.2105,28,33,12,14.94
24,15,19.5,0.304,0.0813,273.9237392,0.0132,0.0044,200,5.4121,42,49,0,13.71
25,15,20,0.3312,0.1283,158.1449727,0.0222,0.0078,184.6153846,6.0795,18,65,81,12.69
26,20,30,1.1465,0.2084,450.1439539,0.0078,0.0044,77.27272727,2.1113,107,86,58,16.29
27,20,11.8,0.2282,0.0502,354.5816733,0.014,0.0032,337.5,6.3745,30,22,0,11.42
28,25,8.5,0.074,0.021,252.3809524,0.009,0.0027,233.3333333,12.8571,7,18,0,10.14
29,30,36.3,0.7357,0.1916,283.9770355,0.0198,0.0079,150.6329114,4.1232,24,80,6,13.45
31,16,32,1.067,0.2145,397.4358974,0.0075,0.008,-6.25,3.7296,72,135,32,13.03
32,6,27.4,0.396,0.1046,278.585086,0.0202,0.0079,155.6962025,7.5526,29,58,0,13.87
34,0,10.5,0.2443,0.058,321.2068966,0.0048,0.0018,166.6666667,3.1034,35,34,0,12.60
35,150,21.7,0.4937,0.1007,390.2681231,0.0166,0.0032,418.75,3.1778,42,64,0,11.27
36,10,22,0.2697,0.0651,314.2857143,0.0073,0.0021,247.6190476,3.2258,18,61,24,11.00
37,10,19.5,0.2554,0.0902,183.1485588,0.0195,0.0093,109.6774194,10.3104,1,51,3,13.32
38,10,19.2,0.1131,0.032,253.4375,0.0059,0.0017,247.0588235,5.3125,2,21,1,12.79
39,50,31.1,0.6485,0.1378,370.6095791,0.0261,0.0084,210.7142857,6.0958,63,70,0,13.57
40,5,27.1,1.1213,0.2833,295.7995058,0.0443,0.0141,214.1843972,4.9771,63,207,0,11.63
41,60,29.3,0.301,0.0631,377.0206022,0.0092,0.0025,268,3.9620,15,38,0,14.73
42,25,21.8,0.723,0.1366,429.2825769,0.0692,0.0171,304.6783626,12.5183,80,38,1,15.25
43,50,14.6,0.4126,0.127,224.8818898,0.0288,0.0053,443.3962264,4.1732,20,83,9,11.00
44,10,37.4,4.4691,1.1225,298.1380846,0.1853,0.0398,365.5778894,3.5457,68,603,13,14.73
45,20,28.1,0.6105,0.1418,330.5359661,0.0242,0.0049,393.877551,3.4556,9,98,3,15.31
46,8,27.5,1.0381,0.3292,215.3402187,0.0315,0.0122,158.1967213,3.7060,0,237,0,13.22
47,20,32.1,0.545,0.1378,295.5007257,0.0199,0.0052,282.6923077,3.7736,0,84,0,13.83
48,2,10.2,0.0804,0.0275,192.3636364,0.0048,0.0009,433.3333333,3.2727,14,10,0,11.37
49,2,12.4,0.0366,0.0163,124.5398773,0.0018,0.0002,800,1.2270,0,14,0,12.88
50,20,16.4,0.2221,0.0322,589.7515528,0.0042,0.0018,133.3333333,5.5901,17,17,0,11.55
51,25,32.3,0.3741,0.116,222.5,0.0074,0.0047,57.44680851,4.0517,0,75,0,11.09
52,8,48.9,1.4282,0.3419,317.7244808,0.0447,0.0222,101.3513514,6.4931,10,180,0,12.23
53,40,39.2,1.1096,0.1593,596.5473949,0.0133,0.004,232.5,2.5110,80,55,1,16.20
54,2,17.6,0.3842,0.0941,308.2890542,0.034,0.0059,476.2711864,6.2699,54,38,0,11.53
56,5,19.2,0.2771,0.09,207.8888889,0.0422,0.0189,123.2804233,21.0000,1,57,34,14.66
57,2,26.7,1.2951,0.5998,115.921974,0.0357,0.0161,121.7391304,2.6842,20,326,0,12.36
58,2,21.1,0.8825,0.3012,192.9946879,0.0368,0.0135,172.5925926,4.4821,0,148,23,12.61
59,4,15.6,0.282,0.1283,119.79735,0.0109,0.0032,240.625,2.4942,0,134,40,8.19
60,100,23,0.2019,0.0486,315.4320988,0.0138,0.0036,283.3333333,7.4074,5,32,8,14.04
61,1,18.7,0.8385,0.1186,606.9983137,0.0182,0.004,355,3.3727,43,68,17,14.88
62,1,16.2,0.1866,0.0531,251.4124294,0.0079,0.0019,315.7894737,3.5782,15,38,0,10.99
63,5,20,0.8477,0.2006,322.5822532,0.0235,0.0081,190.1234568,4.0379,74,146,1,13.52
64,0,20.2,0.7101,0.144,393.125,0.0065,0.0044,47.72727273,3.0556,12,87,251,11.24
65,12,27.5,0.3342,0.1107,201.897019,0.0175,0.0084,108.3333333,7.5881,0,68,71,13.23
66,2,16.4,0.0707,0.0364,94.23076923,0.0075,0.0023,226.0869565,6.3187,0,27,4,14.40
67,15,23.6,1.31,0.369,255.0135501,0.0103,0.0043,139.5348837,1.1653,3,205,22,13.95
68,15,37.3,1.8903,0.5605,237.2524532,0.0138,0.0062,122.5806452,1.1062,0,308,7,14.93
70,19,19.8,0.1257,0.0462,172.0779221,0.0033,0.0014,135.7142857,3.0303,0,27,13,9.93
71,15,37,2.3281,0.6286,270.3627108,0.0586,0.0229,155.8951965,3.6430,0,353,39,13.60
73,25,34,4.2161,0.7041,498.7927851,0.1137,0.0302,276.4900662,4.2892,240,235,108,14.91
74,10,31.6,1.6318,0.2804,481.9543509,0.0383,0.008,378.75,2.8531,124,128,47,14.20
75,30,25.3,0.1396,0.0688,102.9069767,0.007,0.004,75,5.8140,0,54,0,10.53
76,20,42.5,0.7867,0.3108,153.1209781,0.0178,0.0108,64.81481481,3.4749,0,122,1,12.56
77,0,19.4,0.4538,0.124,265.9677419,0.009,0.0042,114.2857143,3.3871,30,70,8,13.81
78,0,23.2,0.9267,0.2483,273.2178816,0.0177,0.0079,124.0506329,3.1816,40,137,43,13.50
79,2,41,3.7469,1.0588,253.8817529,0.0837,0.0255,228.2352941,2.4084,6,396,14,13.89
80,7,21.1,0.4456,0.1197,272.2639933,0.0388,0.0073,431.5068493,6.0986,4,100,0,10.30
81,2,14.3,0.5867,0.1224,379.3300654,0.0178,0.0063,182.5396825,5.1471,116,98,30,9.06
82,10,18.3,0.2783,0.0827,236.5175333,0.0224,0.0048,366.6666667,5.8041,0,80,11,10.11
83,8,22.2,0.2519,0.0965,161.0362694,0.0082,0.0027,203.7037037,2.7979,0,57,1,12.46
84,5,31.5,0.4339,0.1118,288.1037567,0.0108,0.0053,103.7735849,4.7406,13,52,0,11.77
86,10,12.3,0.2528,0.0575,339.6521739,0.0044,0.0019,131.5789474,3.3043,26,46,17,11.71
87,20,19.2,0.3541,0.0911,288.6937431,0.0138,0.0035,294.2857143,3.8419,22,51,218,11.02
88,8,18.5,0.2965,0.069,329.7101449,0.0073,0.0018,305.5555556,2.6087,35,34,0,8.54
89,10,29.1,1.3142,0.3656,259.463895,0.0335,0.0117,186.3247863,3.2002,48,200,47,13.72
90,15,17.8,0.9019,0.2475,264.4040404,0.0235,0.0122,92.62295082,4.9293,12,190,0,10.44
91,2,32,0.763,0.1813,320.8494208,0.0085,0.0032,165.625,1.7650,25,123,13,10.00
92,5,22.2,0.3694,0.07,427.7142857,0.0179,0.0039,358.974359,5.5714,25,30,3,13.96
93,3,17.1,0.247,0.0777,217.8893179,0.0063,0.0021,200,2.7027,15,49,0,11.50
94,30,27.4,0.5497,0.1212,353.5478548,0.0222,0.0048,362.5,3.9604,20,58,6,15.67
95,4,36.4,3.553,0.9964,256.5837013,0.0767,0.0225,240.8888889,2.2581,0,582,142,15.17
96,14,16.5,0.1383,0.0343,303.2069971,0.0032,0.0013,146.1538462,3.7901,5,24,0,12.76
97,15,23.2,0.2446,0.0676,261.8343195,0.0105,0.0031,238.7096774,4.5858,0,29,0,14.84
98,8,27.4,0.4234,0.132,220.7575758,0.0069,0.0038,81.57894737,2.8788,0,38,6,13.96
99,15,21,0.9059,0.2674,238.7808527,0.0112,0.0052,115.3846154,1.9447,15,158,54,12.04
100,5,24,0.4693,0.0761,516.6885677,0.0181,0.0037,389.1891892,4.8620,15,34,4,13.21
101,15,31.5,0.5375,0.1308,310.9327217,0.0124,0.0032,287.5,2.4465,3,79,32,11.78
102,0,25.8,0.6058,0.2451,147.1644227,0.0095,0.0049,93.87755102,1.9992,0,177,47,10.63
103,8,31.4,0.4516,0.1846,144.6370531,0.0216,0.0082,163.4146341,4.4420,0,113,75,13.10
104,12,25.5,0.5221,0.2057,153.8162372,0.0142,0.0059,140.6779661,2.8683,0,82,0,14.54
105,1,23.7,0.9131,0.4029,126.6319186,0.0229,0.0177,29.37853107,4.3931,0,199,1,11.55
106,3,26.4,1.1586,0.4066,184.9483522,0.0203,0.0121,67.76859504,2.9759,125,102,0,14.01
107,18,15.7,0.7587,0.1289,488.5958107,0.0148,0.0057,159.6491228,4.4220,118,40,5,13.64
108,1,14.4,0.5387,0.1417,280.1693719,0.0137,0.0074,85.13513514,5.2223,96,21,1,13.33
109,1,36.6,4.1147,1.3337,208.5176576,0.0654,0.0295,121.6949153,2.2119,70,420,3,14.45
110,50,32.7,2.7375,0.7166,282.0122802,0.0366,0.0188,94.68085106,2.6235,15,214,1,15.08
111,7,41.1,2.8593,0.7649,273.8135704,0.0704,0.0222,217.1171171,2.9023,118,307,10,13.67
