"","genotype","treatment","BG.biomass","sd.BG","se.BG","AG.biomass","sd.AG","se.AG","ratio","sd.ratio","se.ratio","d50","d100","d200","d400","d800","d1600","d2400","d3200"
"1","1","C",0.0063,0.000524404424085076,0.000214087209644419,0.03742,0.00493730695825163,0.00201564712520157,0.17033266824988,0.0222250229924272,0.00907332764217844,46.05403659,40.39765831,32.52333175,33.87796788,32.37207417,28.09635977,27.63927838,23.63576557
"2","1","H",0.00658,0.00133678719323608,0.000545741086352616,0.03474,0.0090215298037528,0.00368302411975087,0.194649879347439,0.0395838814346793,0.0161600519256321,46.05403659,40.39765831,32.52333175,33.87796788,32.37207417,28.09635977,27.63927838,23.63576557
"3","109","C",0.01408,0.00952008403324256,0.00388655803164359,0.06616,0.0313656340602259,0.0128049664844023,0.19646752169473,0.0469490027128845,0.0191668500965184,0,0,0,1.18559205,2.089402305,6.475184558,11.15379983,12.13285615
"4","109","H",0.00882,0.00610344165205173,0.00249171962039606,0.03614,0.0256326549541791,0.0104644875650937,0.311551109891002,0.204660313408391,0.0835522230747739,0,0,0,1.18559205,2.089402305,6.475184558,11.15379983,12.13285615
"5","25","C",0.01474,0.00457362001045124,0.00186717255049803,0.04232,0.00748311432493183,0.00305496863049907,0.344478199388429,0.0586784994076726,0.0239553970701672,26.90081791,23.61109489,28.55881524,24.74925351,32.47580653,25.76982667,23.57963824,22.14528832
"6","25","H",0.01564,0.00561542518425809,0.00229248773170109,0.04628,0.0136734048429789,0.00558214415196646,0.341877715144243,0.0799481735456883,0.0326387051757355,26.90081791,23.61109489,28.55881524,24.74925351,32.47580653,25.76982667,23.57963824,22.14528832
"7","31","C",0.01368,0.00201419959289044,0.00082229354045053,0.05138,0.0068177708967081,0.00278334331335536,0.267359964873713,0.0329857074655295,0.0134663586825435,22.59932158,21.32388841,19.77293326,25.5311256,25.9998656,21.43055909,19.01685772,18.50820282
"8","31","H",0.01558,0.00421034440396507,0.00171886590518283,0.05344,0.00541691794288966,0.00221144748976773,0.291226339763445,0.0703735594177544,0.0287298853261553,22.59932158,21.32388841,19.77293326,25.5311256,25.9998656,21.43055909,19.01685772,18.50820282
"9","40","C",0.00382,0.00279857106395389,0.00114251185260081,0.0156,0.0132772361581769,0.00542040896366071,0.257723623490975,0.0752514090374902,0.0307212590945523,6.096271504,12.18784391,8.029039255,10.71313538,16.04802901,15.97603493,15.90735016,16.64508293
"10","40","H",0.00314,0.00251455761516812,0.00102656384766527,0.01112,0.0132180558328371,0.00539624869701166,0.473992449928344,0.307661820504086,0.125602412261793,6.096271504,12.18784391,8.029039255,10.71313538,16.04802901,15.97603493,15.90735016,16.64508293
"11","52","C",0.00652,0.00198670581616907,0.000811069253105635,0.04358,0.00636843779902104,0.00259990384437579,0.148335618009649,0.0381090913234895,0.0155579713839458,4.27478516,16.6912811,10.53056172,5.152409045,2.686733162,7.506122924,12.53047065,15.55043608
"12","52","H",0.00732,0.00209690247746527,0.000856056851694637,0.03684,0.00719326073488234,0.00293663639787655,0.200416423740966,0.0469725185107221,0.0191764503807845,4.27478516,16.6912811,10.53056172,5.152409045,2.686733162,7.506122924,12.53047065,15.55043608
"13","56","C",0.02894,0.00826909910449742,0.00337584557308733,0.10802,0.0151108239351797,0.00616896803903754,0.267031893854089,0.0582168070436918,0.0237669119518518,35.63553795,37.44471047,28.14368368,26.32102528,30.28926966,28.45744063,26.36723555,23.13520708
"14","56","H",0.0255,0.00659810578878514,0.00269366540857125,0.1048,0.0143814116136073,0.00587118670571234,0.242794178305688,0.0474018356873668,0.0193517183842164,35.63553795,37.44471047,28.14368368,26.32102528,30.28926966,28.45744063,26.36723555,23.13520708
"15","59","C",0.01312,0.00874225371400304,0.0035690101335431,0.0603,0.0287437819362728,0.0117345998369494,0.206469935269524,0.0368194410625361,0.0150314738696153,26.30368426,25.2521826,28.63751293,38.36777477,34.92279896,37.85546084,31.43372474,26.02266148
"16","59","H",0.01228,0.00585252082439695,0.00238928162146422,0.0502,0.0288154472462254,0.0117638570772232,0.253895697479183,0.0614337295808857,0.0250802150782158,26.30368426,25.2521826,28.63751293,38.36777477,34.92279896,37.85546084,31.43372474,26.02266148
"17","64","C",0.03388,0.00603796323274662,0.00246498816765247,0.12378,0.013100267172848,0.00534816167793508,0.272584166641041,0.029654754132104,0.0121065026785576,35.66403053,39.34834239,43.5782342,46.91710896,45.00988209,37.16089945,32.16543246,26.65226836
"18","64","H",0.035,0.00275952894530932,0.00112657297440808,0.11978,0.0131596732482231,0.00537241410665013,0.295269686343924,0.0426081307363236,0.0173946965329649,35.66403053,39.34834239,43.5782342,46.91710896,45.00988209,37.16089945,32.16543246,26.65226836
"19","68","C",0.01362,0.00334917900387543,0.00136729660278961,0.04722,0.00730869345368924,0.00298376160799306,0.288233673189915,0.0515615608973036,0.0210499190899726,41.18141518,42.16324088,49.27166155,55.34574846,49.92662364,38.4193497,33.15237861,26.31395225
"20","68","H",0.01644,0.00359346629314928,0.00146702647101771,0.05086,0.00540629262988973,0.00220710972389986,0.32092567063859,0.0426474091054172,0.0174107318599995,41.18141518,42.16324088,49.27166155,55.34574846,49.92662364,38.4193497,33.15237861,26.31395225
"21","71","C",0.02614,0.00346309110477908,0.00141380102324667,0.08452,0.0116622039083528,0.00476107480862602,0.309861128451858,0.0150844961909871,0.00615821978247912,45.04719253,46.57500951,39.1330443,34.81914099,39.20307872,29.78350306,25.98066138,22.43166185
"22","71","H",0.0259,0.00505222723162765,0.00206256313034696,0.08796,0.0117977964044138,0.00481643021334266,0.301508344526172,0.0837511633348412,0.0341912692558087,45.04719253,46.57500951,39.1330443,34.81914099,39.20307872,29.78350306,25.98066138,22.43166185
"23","8","C",0.022,0.00377822709746251,0.00154245475352331,0.10444,0.0194599075023495,0.0079444739704191,0.211252864034925,0.00770503833006184,0.00314556872620628,42.411428,39.12950704,36.20816605,31.78268247,33.76763107,31.54641312,29.81422436,24.71336229
"24","8","H",0.02212,0.00533638454386488,0.00217856986729062,0.09088,0.0137621582609706,0.00561837758313436,0.242256622672669,0.040332087662925,0.0164655058392278,42.411428,39.12950704,36.20816605,31.78268247,33.76763107,31.54641312,29.81422436,24.71336229
"25","82","C",0.01002,0.00140960987510729,0.000575470821733532,0.04372,0.00559437217210296,0.00228389287547964,0.229544962344822,0.0186597948552741,0.00761782935007203,5.840080279,8.136677254,13.12068006,16.96511481,14.90884682,16.25594597,13.89116107,14.5228086
"26","82","H",0.01076,0.00157257750206468,0.000642002076839839,0.0486,0.0123646674035333,0.00504785432964674,0.226368181279376,0.0272155926062398,0.0111107191554584,5.840080279,8.136677254,13.12068006,16.96511481,14.90884682,16.25594597,13.89116107,14.5228086
"27","83","C",0.02122,0.00438371988156178,0.00178964614752004,0.08452,0.0160745761997012,0.00656241825345911,0.250989741873627,0.0163568219356018,0.00667764459263125,19.021668,18.53659561,20.35741481,16.3314858,12.19307007,17.01581981,19.55666364,18.26952554
"28","83","H",0.01638,0.00634287001285696,0.00258946583938335,0.07042,0.0132673282917097,0.00541636409411332,0.237054865447675,0.100120261018331,0.0408739254015292,19.021668,18.53659561,20.35741481,16.3314858,12.19307007,17.01581981,19.55666364,18.26952554
"29","84","C",0.01092,0.00442459037652075,0.00180633145721746,0.06296,0.0194880219622208,0.00795595165059886,0.169823013832731,0.0228615620195978,0.00933319361183437,10.47400495,13.10296201,17.2205992,15.99685299,11.53946932,12.98573672,13.7137495,14.08220931
"30","84","H",0.01214,0.0021709444949146,0.000886284378740819,0.05768,0.00707297674250383,0.00288753066361785,0.211347871194497,0.0370650287095255,0.0151317346066578,10.47400495,13.10296201,17.2205992,15.99685299,11.53946932,12.98573672,13.7137495,14.08220931
"31","94","C",0.02018,0.00755526306623403,0.00308442323079481,0.07638,0.0380334983928641,0.0155271106992469,0.29347221977468,0.0775582017049679,0.0316630032575046,20.52649409,30.07682335,33.70865834,33.57178934,26.13956743,19.19720063,16.51780368,16.26273941
"32","94","H",0.01604,0.00939377453423277,0.0038349923946035,0.06202,0.0371668131536725,0.0151732879319766,0.275193033357401,0.0712353660688141,0.0290817164181608,20.52649409,30.07682335,33.70865834,33.57178934,26.13956743,19.19720063,16.51780368,16.26273941
"33","95","C",0.01454,0.00234158066271483,0.000955946302536567,0.05272,0.00964038380978683,0.00393567020976098,0.28248426469947,0.062849514087766,0.0256582066828149,35.36913583,25.48914751,21.93551704,21.42868405,22.30593525,16.54217752,13.96946801,14.3185773
"34","95","H",0.01152,0.00354005649672431,0.00144522201293319,0.03998,0.0112399733095769,0.0045886998884942,0.291030712999449,0.0461961582632712,0.0188595026369785,35.36913583,25.48914751,21.93551704,21.42868405,22.30593525,16.54217752,13.96946801,14.3185773
"35","99","C",0.02074,0.0155432622058563,0.0063455102237724,0.09498,0.0310080150928756,0.0126589691523441,0.207531375223737,0.0904734738625159,0.0369356410366991,19.79573854,20.231099,20.00490338,24.60003286,25.66819581,23.76280509,21.82864105,20.84887336
"36","99","H",0.01626,0.00234584739486609,0.000957688188643186,0.08432,0.00421153178784157,0.00171935065262054,0.192338807197559,0.0219311175685783,0.0089533412553341,19.79573854,20.231099,20.00490338,24.60003286,25.66819581,23.76280509,21.82864105,20.84887336
